rbd,prom_prioritario
22480,.74025977
22634,.68421054
25157,.72000003
25434,.37037036
372,.81318682
26352,.56
2871,.71794873
4160,.78571427
13563,.86363637
10235,.51351351
13442,.45652175
14868,.64705884
3063,.80952382
12538,.85714287
14365,.75999999
25829,.45833334
1123,.80000001
4986,.93333334
2210,.72000003
4592,.78260869
17723,.75999999
12603,.70833331
7346,.75510204
7977,.75
9426,.66666669
3550,1
31506,.66666669
8438,.58823532
25988,.55660379
10147,.60606062
22354,1
430,.62121212
20489,1
5212,1
14324,1
22366,.79166669
1551,.92307693
10030,.41732284
1602,.5
5273,.90322578
16677,.75
1677,.48387095
2014,.9130435
14315,.47619048
3866,.5
4277,.63855422
10492,.47826087
9713,.66666669
10344,.609375
13154,.73015875
17652,.45945945
3890,.9285714
40305,.54285717
9369,.42253521
2262,.83018869
16757,.78947371
10405,.72580647
9011,.67567569
20274,.56756759
13446,.35849056
8499,.58585858
12694,.45833334
8367,.34545454
6305,.94736844
24622,.63999999
9012,.60784316
7044,.66000003
10108,.47619048
9685,.68181819
10758,.70454544
7332,.62962961
10842,.79365081
5606,.8214286
535,.55000001
10204,.63636363
4762,.47154471
3395,.89999998
22554,.60869563
11105,.55696201
25204,1
1735,.46391752
10651,.7352941
3005,.48888889
10197,.84615386
8942,.75308645
2347,1
2110,.4391892
22533,.80000001
1683,.75675678
18087,.74074072
9017,.5714286
10064,.60714287
13420,.65432101
25576,.57894737
10428,.82352942
534,.67741936
15812,.77333331
10470,.66666669
10408,.69696969
6762,.56923079
22,.75268817
1125,.92307693
4647,.875
24520,.64705884
10105,.82352942
8491,.45454547
10963,.51724136
25371,.50413221
12824,.33333334
25288,.57575756
8005,.66233766
8645,.41414142
2737,.91666669
9834,.76363635
10444,.82352942
7743,.38157895
40006,.37931034
2263,.80769229
8825,.33333334
14395,.60465115
9106,.6111111
12076,.63492066
10042,.40384614
5720,.81481481
8365,.46078432
4564,.4732143
3130,.80000001
4675,.65909094
8663,.5
2160,.78947371
11712,.68421054
16704,.62295079
970,.69999999
17732,.56
10359,.58620691
1213,.59493673
8665,.45833334
123,.84615386
8231,1
9996,.80000001
11942,.64150941
2129,.56140351
240,.6111111
4785,.4893617
10580,.5
22226,.64285713
4806,.66666669
1607,.54545456
1490,.73333335
1321,.64285713
4995,.85294116
24854,.51428574
9636,.66315788
14288,.40000001
6273,.8108108
429,.39726028
7701,.2820513
6164,.70454544
8671,.38461539
5698,.79310346
2360,.86666667
3389,.9130435
2386,.5
5854,.94117647
1369,.88
17824,.41666666
10579,.42857143
2903,1
10551,.79166669
373,.68421054
2050,.89999998
4845,.83333331
22621,.32142857
6500,.78260869
11342,.87804878
12020,.76056337
434,.6857143
15817,.40000001
14912,.41999999
25352,.44927537
22629,.56
26367,.36708862
798,.81967211
227,.69747901
25523,.69999999
10783,.72727275
26365,.44036698
10774,.86956519
2735,.64285713
24892,.7647059
26368,.37931034
9995,.66666669
31106,.76190478
6886,.93220341
5396,.78947371
574,.60451978
25071,.42857143
5627,.83333331
9859,.32352942
2983,.63636363
11430,.42372882
5048,.6557377
14642,.69999999
440,.80263156
5130,.80952382
1881,.68627453
24722,.51612902
6587,.82608694
5434,.37931034
26115,.26530612
7478,.69999999
4989,.70833331
10158,.61333334
22588,.7096774
24987,.55882353
3173,.7241379
4631,.65384614
10193,.64044946
2312,.77777779
6641,.90909094
13612,.71428573
10565,.72727275
25592,.80000001
319,.57317072
24203,.84482759
10574,.71428573
25481,.25
13163,.6825397
4307,.60416669
15767,.51612902
1459,.78947371
24999,.70731705
3462,.82222223
5570,.625
6650,.85714287
9926,.41935483
9308,.67441863
9334,.453125
5878,.94117647
14801,.77777779
10069,.43636364
3039,.75
9317,.375
25709,.34482759
11854,.42857143
4719,.81818181
6200,.93333334
31030,.57360405
5378,1
1275,.72000003
9208,.70454544
1395,.63013697
298,.52380955
4992,.84848487
15610,.57894737
1180,.60000002
9889,.6785714
22434,.44852942
12871,.63235295
16,.68181819
7777,.86666667
10220,.40677965
1603,.69696969
12570,.72611463
2288,.90909094
12023,.90476191
24822,.89999998
40027,.26666668
897,.88636363
2285,.84615386
18006,.828125
1377,.83333331
7707,.34375
3408,.71428573
2995,.44642857
17692,.61904764
10345,.47311828
12566,.78899086
10710,.37837839
15779,.91666669
1523,.82978725
31065,.375
3349,.88461536
10662,.47619048
3621,.6857143
15750,.60606062
10113,.69696969
18034,.39285713
25062,.75
10278,.77777779
18163,.33333334
1453,.82456142
11106,.42253521
15739,.64814812
8487,.46464646
26372,.75384617
10488,.56410259
22105,.82191783
704,.6388889
1234,.61538464
11199,.72727275
26083,.56756759
8563,.57692307
10491,.5
26532,.80000001
22380,.76119405
24206,.53448278
5440,.84615386
5270,.80645162
14,.95238096
1349,.44999999
10093,.85000002
9597,.86363637
6300,.62962961
8549,.78571427
18184,.75
1839,.33333334
5829,.51020408
6120,.48979592
12330,.625
3251,.68656719
13146,.625
14270,.60869563
1895,.72222221
10721,.71641791
1599,.85714287
7572,.62857145
2883,.85714287
19927,.85714287
3886,.92592591
16733,.68421054
24954,.53571427
9721,.73333335
13356,.44444445
5288,.91666669
1362,.65714288
31116,.65306121
9197,.61538464
1307,.72727275
1371,.7037037
9637,.57391304
9335,.4375
12945,.48275861
6270,.93333334
25365,.83333331
2992,.33898306
31080,.69090909
16570,.64814812
427,.5945946
22535,.66666669
1977,.41573033
1266,.84615386
10162,.61068702
10251,.66666669
9796,.82857144
2212,.52631581
6764,.55102038
406,.85964912
10794,.8214286
22019,.48648649
40289,.45977011
1403,.38095239
7303,.85714287
3033,.779661
2389,.8888889
9740,.75
8819,.23076923
10313,.66666669
7897,1
1620,.43333334
4258,.77777779
12002,.91428572
12726,.77419353
10638,.67669171
24489,.5714286
10015,.47457626
464,.92307693
531,.73076922
40351,.25925925
25865,.51282054
22224,.42857143
2118,.7719298
13590,.84615386
6829,.25
15646,.64705884
5220,.79310346
11261,.71052629
8841,.35714287
10595,.62857145
1449,.60377359
648,.39344263
25783,.91428572
1703,.52941179
187,.58620691
19,.85714287
31294,.45454547
525,.55000001
10005,.65789473
14348,.62666667
4835,.69047618
11217,.75
6830,.47826087
1675,.68965518
1601,.67567569
3976,.84375
4817,1
7384,1
2309,.60000002
7850,.77777779
6708,.84210527
616,.73770493
10548,.72000003
304,.27941176
12650,.62162161
10149,.72222221
305,.62921351
13518,.58064514
6267,1
15608,.74358976
2457,.640625
9828,.54054052
12151,.515625
3466,.71428573
10259,.5625
10646,.72000003
9811,.50340134
11677,.73404253
25926,.63
6502,.80000001
1350,.6557377
4711,.77777779
8442,.46969697
1534,.85714287
22418,.75
12314,.78787881
25034,.55555558
10262,.69999999
9668,.71875
20259,1
4140,.62559241
626,.6557377
3481,.86363637
10041,.65384614
18028,.53333336
11928,.44444445
2948,.66666669
10074,1
31064,.84210527
17635,.58333331
18012,.86000001
4269,.51724136
7639,.59322035
5085,.60000002
1519,1
3497,.58823532
22608,.76744187
1598,.7352941
26035,.52777779
25078,.79710144
6828,.5
10560,.66666669
26436,.32967034
5019,.74468082
10901,.52380955
6350,.95238096
13586,.64835167
10730,.7241379
8930,.48148149
18,.84090906
4382,.79545456
22325,1
20052,.75757575
25382,.54545456
2612,.66666669
1285,.45454547
14514,.48214287
10462,.68181819
9164,.60000002
24883,.87804878
2527,.81818181
2460,.9285714
50,.66666669
14856,.60784316
10641,.74626863
17897,.85714287
9194,.63157892
7659,.875
3361,.88235295
12077,.40350878
24856,.80851066
10833,.51785713
10685,.45588234
20478,.48412699
2412,.75471699
15662,.26086956
7744,.46296296
12001,.84126985
10805,.80000001
1132,.5714286
768,.63636363
3823,.83018869
15809,.52499998
3784,1
403,.79310346
8603,.47474748
9298,.68000001
583,.17647059
4507,.64285713
16410,.74647886
2469,.72727275
2990,.5
17719,.46666667
10578,.7368421
5714,.57894737
14201,.63461536
6399,.87096775
8449,.54545456
18049,.39583334
1051,.78947371
2217,.52631581
1721,.81818181
12962,.74193549
20519,.33333334
17900,.46153846
2021,.8888889
9778,.60683763
1570,.80000001
10400,.80000001
25781,.41772151
12008,.55882353
10151,.65217394
2999,.55263156
5395,.75438595
4790,.36764705
7773,.69999999
7238,.84615386
2007,.46666667
20048,.45161289
3359,.66666669
12022,.66666669
8415,.81481481
2845,.68965518
10247,.43333334
4485,1
26037,.67441863
24809,.48387095
827,.875
19954,.74074072
1511,.90909094
2247,.66071427
10600,.52173913
3619,.82499999
4447,.83333331
18126,.85185188
4391,.72727275
1225,.29411766
2159,.44444445
41109,.33333334
10270,.70588237
2909,.85000002
9803,.55555558
22403,.375
6564,1
13582,.5
